Reiseveranstalter (Konzern-Ebene);Reiseveranstalter (Marken-Ebene);Buchungsmonate;Reisemonate;Personenanzahl;Erlöswert (Tsd. EUR)
Others;Phoenix Reisen;202501;202503;60,97;160.288
Others;AIDA Cruises;202501;202502;13,19;23.34
Others;AIDA Cruises;202501;202412;0;-43.288
Others;AIDA Cruises;202501;202503;1;4.878
Others;AIDA Cruises;202501;202504;1;6.22
Others;AIDA Cruises;202501;202505;1;3.56
Others;Others;202501;202503;0;0.0
Others;Phoenix Reisen;202501;202510;29,39;58.545
Others;Phoenix Reisen;202501;202602;19,59;126.022
Others;Phoenix Reisen;202501;202509;2;4.318
Others;Plantours;202501;202508;1;7.198
Others;TUI Cruises;202501;202510;0;3.918
Others;TUI Cruises;202501;202503;19,59;43.47
Others;TUI Cruises;202501;202604;29,39;40.914
Others;TUI Cruises;202501;202606;19,59;57.575
Others;TUI Cruises;202501;202507;58,77;118.206
Others;TUI Cruises;202502;202602;0;0.0
Others;TUI Cruises;202501;202505;19,59;28.778
Others;TUI Cruises;202501;202512;0;-38.876
TUI Group;LTUR;202501;202505;29,55;30.073
TUI Group;LTUR;202501;202506;8;10.236
TUI Group;TUI;202501;202509;12,28;6.752
TUI Group;TUI;202501;202510;3;3.129
TUI Group;TUI;202501;202505;2;4.703
TUI Group;TUI;202501;202507;2;2.411
TUI Group;TUI;202501;202506;0;-93.0
TUI Group;TUI;202502;202509;0;0.0
Alltours;Alltours;202502;202505;0;0.0
Alltours;Alltours;202501;202504;28,46;25.372
Alltours;Alltours;202501;202509;14,23;18.015
Alltours;Alltours;202501;202502;14,23;8.125
Alltours;Alltours;202501;202503;56,92;48.823
Alltours;Alltours;202501;202505;14,23;13.632
Alltours;Alltours;202501;202508;21,22;30.069
DER Group;Dertour;202501;202504;216,87;238.521
DER Group;Dertour;202501;202505;29,7;24.913
DER Group;Dertour;202501;202506;63,91;71.408
DER Group;Dertour;202501;202507;62,47;73.295
